Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;concept:name;impact;lifecycle:transition;org:group;org:role;organization country;organization involved;product;resource country;Duration
1-165554831;Accepted-In Progress;Tomas;2011/09/03 07:10:53.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;55269982.0
1-172473423;Accepted-In Progress;Tomas;2011/09/03 07:10:59.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;55269986.0
1-182640781;Accepted-In Progress;Niklas;2011/09/05 09:24:13.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;se;M1 2nd;PROD681;Sweden;32479872.0
1-182640781;Accepted-Assigned;Niklas;2011/11/14 16:10:25.000;Variant 37;37;Accepted;Medium;Assigned;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;6072372.0
1-236817141;Accepted-In Progress;Tomas;2011/09/03 08:02:11.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD681;Sweden;32302526.0
1-236817141;Accepted-Assigned;Niklas;2011/11/14 16:09:27.000;Variant 37;37;Accepted;Medium;Assigned;Org line A2;A2_2;cn;G167 2nd;PROD681;Sweden;6250036.0
1-270427461;Accepted-In Progress;Tomas;2011/11/14 15:57:27.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;61522372.0
1-327329880;Accepted-In Progress;Carrie;2011/09/02 00:22:08.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;55159051.0
1-345255471;Queued-Awaiting Assignment;Mats;2011/09/23 15:06:05.000;Variant 31;31;Queued;Medium;Awaiting Assignment;Org line C;E_4;gb;G88 2nd;PROD793;Sweden;53222143.0
1-347924629;Accepted-Assigned;Ann;2011/12/16 10:26:27.000;Variant 14;14;Accepted;Low;Assigned;Org line A2;A2_3;se;G349 3rd;PROD40;Sweden;59625711.0
1-351314317;Accepted-In Progress;Ewa;2011/12/20 22:25:19.000;Variant 2;2;Accepted;Medium;In Progress;Org line A2;A2_2;us;G21 2nd;PROD98;POLAND;59226261.0
1-354039443;Accepted-In Progress;Ewa;2011/12/28 15:05:47.000;Variant 20;20;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;POLAND;58848917.0
1-354350908;Accepted-In Progress;Tomas;2011/09/02 00:16:31.000;Variant 74;74;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;48604370.0
