Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;amount;article;dismissal;expense;lastSent;lifecycle:transition;matricola;notificationType;paymentAmount;points;totalPaymentAmount;vehicleClass;Duration
A10000;Payment;;2008/09/09 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29721600.0
A10033;Payment;;2008/09/13 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;28598400.0
A10043;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31708800.0
A10061;Payment;;2008/09/25 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31104000.0
A10069;Payment;;2008/09/30 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31968000.0
A10122;Payment;;2008/09/25 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31104000.0
A10130;Payment;;2008/10/31 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;34905600.0
A10161;Payment;;2008/10/15 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;33696000.0
A10165;Payment;;2008/01/21 00:00:00.000;Variant 5;5;;;;;;complete;;;49.0;;49.0;;9676800.0
A10165;Payment;;2008/10/15 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;23155200.0
A10203;Payment;;2008/02/19 00:00:00.000;Variant 5;5;;;;;;complete;;;49.0;;49.0;;14515200.0
A10203;Payment;;2008/04/11 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;4492800.0
A10249;Receive Result Appeal from Prefecture;;2008/01/22 00:00:00.000;Variant 22;22;;;;;;complete;;;;;;;2160000.0
A10249;Notify Result Appeal to Offender;;2008/01/25 00:00:00.000;Variant 22;22;;;;;;complete;;;;;;;259200.0
A10249;Payment;;2008/02/09 00:00:00.000;Variant 22;22;;;;;;complete;;;94.0;;94.0;;1296000.0
A10250;Payment;;2008/09/03 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29203200.0
A10288;Payment;;2008/10/01 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;32486400.0
A10305;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;33091200.0
A10320;Payment;;2008/09/17 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30412800.0
A10321;Payment;;2008/09/09 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29980800.0
A10401;Payment;;2008/11/17 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;36720000.0
A10418;Payment;;2008/01/07 00:00:00.000;Variant 5;5;;;;;;complete;;;35.0;;35.0;;7862400.0
A10418;Payment;;2008/09/13 00:00:00.000;Variant 5;5;;;;;;complete;;;22.0;;57.0;;21600000.0
A10434;Payment;;2008/03/12 00:00:00.000;Variant 5;5;;;;;;complete;;;22.0;;57.0;;7344000.0
A10446;Add penalty;;2008/01/22 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10447;Add penalty;;2008/02/26 00:00:00.000;Variant 4;4;44.0;;;;;complete;;;;;;;5184000.0
A10447;Payment;;2008/10/11 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;19699200.0
A10448;Add penalty;;2008/02/16 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10450;Insert Fine Notification;;2008/01/19 00:00:00.000;Variant 1;1;;;;;P;complete;;P;;;;;1987200.0
A10450;Add penalty;;2008/03/19 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10463;Add penalty;;2008/02/28 00:00:00.000;Variant 1;1;74.0;;;;;complete;;;;;;;5184000.0
A10474;Payment;;2008/09/17 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30672000.0
A10499;Payment;;2008/09/04 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;28598400.0
A10519;Payment;;2008/09/26 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;24796800.0
A10566;Add penalty;;2008/01/07 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10579;Payment;;2008/11/15 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;33264000.0
A10588;Payment;;2008/08/28 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;26438400.0
A10594;Payment;;2008/09/03 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;22204800.0
A10597;Add penalty;;2008/01/07 00:00:00.000;Variant 4;4;44.0;;;;;complete;;;;;;;5184000.0
A10597;Payment;;2008/08/26 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;20044800.0
A10619;Payment;;2008/10/07 00:00:00.000;Variant 13;13;;;;;;complete;;;94.0;;94.0;;28166400.0
A10655;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;31449600.0
A10664;Payment;;2008/10/25 00:00:00.000;Variant 5;5;;;;;;complete;;;22.0;;57.0;;32486400.0
A10670;Add penalty;;2008/01/16 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10681;Add penalty;;2008/01/13 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10688;Insert Fine Notification;;2008/01/15 00:00:00.000;Variant 1;1;;;;;P;complete;;P;;;;;1641600.0
A10688;Add penalty;;2008/03/15 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10690;Send Fine;;2008/01/18 00:00:00.000;Variant 3;3;;;;13.0;;complete;;;;;;;10195200.0
A10692;Send Fine;;2008/01/18 00:00:00.000;Variant 3;3;;;;13.0;;complete;;;;;;;10108800.0
A10693;Send Fine;;2008/01/18 00:00:00.000;Variant 1;1;;;;13.0;;complete;;;;;;;9936000.0
A10693;Insert Fine Notification;;2008/01/30 00:00:00.000;Variant 1;1;;;;;P;complete;;P;;;;;1036800.0
A10693;Add penalty;;2008/03/30 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10694;Send Fine;;2008/01/18 00:00:00.000;Variant 4;4;;;;13.0;;complete;;;;;;;9936000.0
A10694;Insert Fine Notification;;2008/02/09 00:00:00.000;Variant 4;4;;;;;P;complete;;P;;;;;1900800.0
A10694;Add penalty;;2008/04/09 00:00:00.000;Variant 4;4;44.0;;;;;complete;;;;;;;5184000.0
A10694;Payment;;2008/04/22 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;1123200.0
A10695;Send Fine;;2008/01/18 00:00:00.000;Variant 1;1;;;;13.0;;complete;;;;;;;9590400.0
A10695;Insert Fine Notification;;2008/02/11 00:00:00.000;Variant 1;1;;;;;P;complete;;P;;;;;2073600.0
A10695;Add penalty;;2008/04/11 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10697;Send Fine;;2008/01/18 00:00:00.000;Variant 3;3;;;;13.0;;complete;;;;;;;9417600.0
A10699;Send Fine;;2008/01/18 00:00:00.000;Variant 1;1;;;;13.0;;complete;;;;;;;7862400.0
A10699;Insert Fine Notification;;2008/01/31 00:00:00.000;Variant 1;1;;;;;P;complete;;P;;;;;1123200.0
A10699;Add penalty;;2008/03/31 00:00:00.000;Variant 1;1;44.0;;;;;complete;;;;;;;5184000.0
A10700;Send Fine;;2008/01/18 00:00:00.000;Variant 5;5;;;;13.0;;complete;;;;;;;7689600.0
A10700;Insert Fine Notification;;2008/01/30 00:00:00.000;Variant 5;5;;;;;P;complete;;P;;;;;1036800.0
A10700;Add penalty;;2008/03/30 00:00:00.000;Variant 5;5;44.0;;;;;complete;;;;;;;5184000.0
A10700;Payment;;2008/04/18 00:00:00.000;Variant 5;5;;;;;;complete;;;35.0;;35.0;;1641600.0
A10700;Payment;;2008/05/12 00:00:00.000;Variant 5;5;;;;;;complete;;;22.0;;57.0;;2073600.0
A10714;Payment;;2008/01/14 00:00:00.000;Variant 5;5;;;;;;complete;;;49.0;;49.0;;8467200.0
A10714;Payment;;2008/05/05 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;9676800.0
A10779;Payment;;2008/10/29 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;32572800.0
A10847;Payment;;2008/09/02 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;27648000.0
A10852;Add penalty;;2008/01/12 00:00:00.000;Variant 1;1;74.0;;;;;complete;;;;;;;5184000.0
A10858;Send Appeal to Prefecture;;2008/01/08 00:00:00.000;Variant 13;13;;;NIL;;;complete;;;;;;;4147200.0
A10858;Receive Result Appeal from Prefecture;;2008/05/28 00:00:00.000;Variant 13;13;;;;;;complete;;;;;;;12182400.0
A10858;Notify Result Appeal to Offender;;2008/06/24 00:00:00.000;Variant 13;13;;;;;;complete;;;;;;;2332800.0
A10858;Payment;;2008/07/24 00:00:00.000;Variant 13;13;;;;;;complete;;;98.0;;98.0;;2592000.0
A10884;Payment;;2008/10/09 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31708800.0
A10908;Payment;;2008/09/03 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;27734400.0
A10921;Payment;;2008/10/15 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;32140800.0
A10938;Payment;;2008/10/22 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31968000.0
A10940;Payment;;2008/08/30 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;28080000.0
A10966;Payment;;2008/09/24 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30412800.0
A11014;Payment;;2008/09/27 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30672000.0
A11046;Payment;;2008/08/26 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29030400.0
A11052;Payment;;2008/09/03 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;28512000.0
A11069;Payment;;2008/10/15 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;32227200.0
A11100;Payment;;2008/10/14 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;32054400.0
A11206;Payment;;2008/10/16 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;32918400.0
A11235;Payment;;2008/10/09 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31622400.0
A11243;Payment;;2008/09/22 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30240000.0
A11250;Payment;;2008/10/09 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30844800.0
A11268;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31622400.0
A11269;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30758400.0
A11291;Payment;;2008/10/15 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;32227200.0
A11345;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30931200.0
A11367;Payment;;2008/05/03 00:00:00.000;Variant 5;5;;;;;;complete;;;54.6;;54.6;;12528000.0
A11367;Payment;;2008/06/04 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;92.6;;2764800.0
A11406;Payment;;2008/10/14 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;32140800.0
A11411;Add penalty;;2008/01/12 00:00:00.000;Variant 1;1;74.0;;;;;complete;;;;;;;5184000.0
A11427;Payment;;2008/01/16 00:00:00.000;Variant 5;5;;;;;;complete;;;49.0;;49.0;;7689600.0
A11427;Payment;;2008/06/26 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;13996800.0
A11444;Payment;;2008/09/04 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;27820800.0
A11449;Payment;;2008/09/23 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30326400.0
A11450;Payment;;2008/01/16 00:00:00.000;Variant 5;5;;;;;;complete;;;49.0;;49.0;;8640000.0
A11450;Payment;;2008/05/08 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;9763200.0
A11455;Payment;;2008/09/22 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29289600.0
A11462;Payment;;2008/01/25 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;7430400.0
A11500;Payment;;2008/12/30 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;37929600.0
A11503;Payment;;2008/09/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;27907200.0
A11511;Payment;;2008/12/30 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;37929600.0
A11517;Payment;;2008/09/24 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31795200.0
A11540;Payment;;2008/10/14 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;33609600.0
A11567;Payment;;2008/02/05 00:00:00.000;Variant 5;5;;;;;;complete;;;38.0;;87.0;;8467200.0
A11599;Payment;;2008/09/11 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29203200.0
A11614;Send Fine;;2008/01/18 00:00:00.000;Variant 3;3;;;;18.6;;complete;;;;;;;23846400.0
A11626;Payment;;2008/10/03 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31190400.0
A11665;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30931200.0
A1169;Payment;;2008/10/06 00:00:00.000;Variant 4;4;;;;;;complete;;;82.5;;82.5;;51235200.0
A11702;Payment;;2008/09/01 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;29808000.0
A11703;Payment;;2008/09/02 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29721600.0
A11717;Payment;;2008/10/15 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;29721600.0
A11728;Payment;;2008/10/10 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;30067200.0
A11757;Payment;;2008/10/15 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31276800.0
A11770;Payment;;2008/10/18 00:00:00.000;Variant 5;5;;;;;;complete;;;87.0;;87.0;;32486400.0
A11880;Payment;;2008/10/18 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;31536000.0
A11894;Payment;;2008/10/15 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;30412800.0
A1191;Payment;;2008/10/02 00:00:00.000;Variant 4;4;;;;;;complete;;;53.5;;53.5;;50976000.0
A11919;Payment;;2008/09/17 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;28857600.0
A11929;Payment;;2008/11/05 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;33955200.0
A11934;Payment;;2008/01/11 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;9590400.0
A11936;Payment;;2008/12/01 00:00:00.000;Variant 4;4;;;;;;complete;;;87.0;;87.0;;37670400.0
A11969;Payment;;2008/10/06 00:00:00.000;Variant 4;4;;;;;;complete;;;57.0;;57.0;;31276800.0
A11993;Add penalty;;2008/01/08 00:00:00.000;Variant 1;1;74.0;;;;;complete;;;;;;;5184000.0
