Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;amount;article;dismissal;expense;lastSent;lifecycle:transition;matricola;notificationType;paymentAmount;points;totalPaymentAmount;vehicleClass;Duration
A12762;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;63072000.0
A12765;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;48902400.0
A12772;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;39139200.0
A13114;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;49161600.0
A13116;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50371200.0
A13438;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;68947200.0
A13439;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;68774400.0
A13442;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;67996800.0
A13443;Payment;;2010/05/17 00:00:00.000;Variant 5;5;;;;;;complete;;;57.0;;114.0;;24451200.0
A13984;Payment;;2010/03/15 00:00:00.000;Variant 103;103;;;;;;complete;;;98.0;;196.0;;19094400.0
A14652;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 20;20;;;;;;complete;;;;;;;70761600.0
A14877;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;67996800.0
A15206;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;64540800.0
A15212;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;65232000.0
A15213;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;60134400.0
A15215;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;65145600.0
A15216;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;64713600.0
A15218;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;63936000.0
A15227;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;52358400.0
A15230;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;55382400.0
A15231;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;55036800.0
A15234;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;54345600.0
A15236;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50025600.0
A15240;Send for Credit Collection;;2010/10/15 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;42595200.0
